Name,Address,Contact,Map Link,rating,No of reviews,Social media / website,Menu Link,Restaurant Keyword,Restaurant Speciality
1516 by RockScor Brewery,"1516 by RockScor Brewery, Vlaicu Pircalab St 31, MD-2012, Chișinău, Moldova",+373 602 70 036,https://www.google.com/maps/place/data=!3m1!4b1!4m6!3m5!1s0x40c97dfbb93c7ee9:0x6898756db798980b!8m2!3d47.0192685!4d28.8301462!16s%2Fg%2F11rkppjyl5?entry=ttu,4.4,314,None,None,Bar/beer,"beer, snacks for beer"
"Ресторан Гагаузской Кухни ""Gök-Oguz""","Strada Calea Orheiului 19/A, MD-2059, Chișinău, Молдова",+373 794 68 852,https://www.google.com/maps/place/%D0%A0%D0%B5%D1%81%D1%82%D0%BE%D1%80%D0%B0%D0%BD+%D0%93%D0%B0%D0%B3%D0%B0%D1%83%D0%B7%D1%81%D0%BA%D0%BE%D0%B9+%D0%9A%D1%83%D1%85%D0%BD%D0%B8+%22G%C3%B6k-Oguz%22/data=!4m7!3m6!1s0x40c97dab5e69f035:0xafc3873426c4992d!8m2!3d47.0424435!4d28.8445917!16s%2Fg%2F1tmz5fzm!19sChIJNfBpXqt9yUARLZnEJjSHw68?authuser=0&hl=ru&rclk=1,4.7,1 579,http://www.gok-oguz.md/,None,Traditional Moldavian cuisine,mutton
Acasă la Mama Restaurant,"Acasă la Mama Restaurant, Strada Petru Rareș 59, Chișinău, Moldova",+373 790 45 050,https://maps.app.goo.gl/wiygHKKstWA4F5Df6,4.6,1182,https://www.facebook.com/restaurantacasalamama/,None,Mixed kitchen,homemade food
Amano Restaurant,"Strada Columna 104, MD-2012, Chișinău, Молдова",+37(368)707010,https://maps.app.goo.gl/yDGWm7LVqGCMDgm7A,4.6,36,https://amano.md/,None,European cuisine,None
Anchiano,"Anchiano, Strada Miron Costin 12, MD-2068, Chișinău, Moldova",+373 611 80 000,https://maps.app.goo.gl/GR1U945ZK7j8WoWeA,4.6,57,https://instagram.com/anchiano_restaurant?igshid=NTc4MTIwNjQ2YQ==,None,Italian Cuisine,None
Andersen,"Andersen, Onisifor Ghibu St 10, MD-2071, Chișinău, Moldova",+373 788 86 000,https://maps.app.goo.gl/hgETmoZ3qTZCSa4i9,4.6,424,https://andersen.md/,068089981 Анна.рук отд. маркет,Mixed kitchen,children's Cafe
Andersen Ciocana,"Strada Igor Vieru 8/3, MD-2075, Chișinău, Moldova",+37(378)886000,https://maps.app.goo.gl/fEW3HBhFfeRknDCBA,4.6,410,andersen.md,None,Mixed kitchen,children's Cafe
Andy's,"Andy's, Strada Ion Dumeniuc 12 A, Chișinău, Moldova",+373 22 210 210,https://maps.app.goo.gl/dKwcdrhw3PqQTFZ89,4.4,1127,http://andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy's Express,Strada Pușkin 22,382 22 211 210,https://www.google.com/maps/place/Andy%27s+Express/data=!4m7!3m6!1s0x40c97da1b0de6a7b:0xebb29a9c3a4e08cf!8m2!3d47.0213367!4d28.8313943!16s%2Fg%2F11hdvl2sgk!19sChIJe2resKF9yUARzwhOOpyasus?authuser=0&hl=ru&rclk=1,4.0,119,https://www.andys.md/,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
Andy’s Express,Strada Arborilor 21,392 22 211 210,https://www.google.com/maps/place/Andy%E2%80%99s+Express/data=!4m7!3m6!1s0x40c97fd5454e19eb:0xe0c9c944bccbe635!8m2!3d47.0047132!4d28.8410397!16s%2Fg%2F11s9__ds1b!19sChIJ6xlORdV_yUARNebLvETJyeA?authuser=0&hl=ru&rclk=1,3.5,12,None,None,Mixed kitchen,"Fast food, beer, pizza, burgers"
